ts,token,event_seq,symbol,tier,side,plan_name,usd_flow,tokens_raw_delta,px_usd,weth_px_usd,impact_pct,gas_usd,quote_source,quote_status,gap_s,note
1789230000.0,0x27d1dafbfeba4e5e352fffdbc7a55510f0a6437f,50,HODL,A,buy,cfg_ladder_stop,-10.07,102339429525053614587904,9.7714e-23,2527.27,100.0,0.07,kyber,ok,0.0,buy 0.00395684 WETH ($10.00) → 1.02e+23 raw via kyber impact 100.00%
1789230000.0,0x27d1dafbfeba4e5e352fffdbc7a55510f0a6437f,50,HODL,A,stop,cfg_ladder_stop,0.255945,-102339429525053614587904,3.18494e-24,2526.25,,0.07,kyber,ok,1010.16,sell 1.02e+23 raw → 0.000129089 WETH ($0.33) via kyber
1789240000.0,0xbfeda09e715c8994ed0dc2b759343e9aeee65a12,55,NOESIS,A,buy,cfg_ladder_stop,-10.07,22105777188038240108544,4.5237e-22,2525.43,15.2547,0.07,kyber,ok,0.0,buy 0.00395972 WETH ($10.00) → 2.21e+22 raw via kyber impact 15.25%
1789240000.0,0xbfeda09e715c8994ed0dc2b759343e9aeee65a12,55,NOESIS,A,tp_2x,cfg_ladder_stop,8.02845,-11052888594019120054272,7.327e-22,2524.79,0.3966,0.07,kyber,ok,605.191,sell 1.11e+22 raw → 0.00320792 WETH ($8.10) via kyber impact 0.40%
1789240000.0,0x4f3e89a560c8ca3bd79502a0a0e55a7ccc955593,58,10X,A,buy,cfg_ladder_stop,-10.07,120353696494188289327104,8.30884e-23,2523.95,100.0,0.07,kyber,ok,0.0,buy 0.00396204 WETH ($10.00) → 1.2e+23 raw via kyber impact 100.00%
1789240000.0,0x4f3e89a560c8ca3bd79502a0a0e55a7ccc955593,58,10X,A,tp_2x,cfg_ladder_stop,13.0491,-60176848247094144663552,2.1801e-22,2526.54,,0.07,kyber,ok,506.275,sell 6.02e+22 raw → 0.00519912 WETH ($13.12) via kyber
1789240000.0,0x4f3e89a560c8ca3bd79502a0a0e55a7ccc955593,58,10X,A,stop,cfg_ladder_stop,0.323421,-60176848247094144663552,6.53774e-24,2523.62,,0.07,kyber,ok,577.553,sell 6.02e+22 raw → 0.000155911 WETH ($0.39) via kyber
1789240000.0,0x0df5c5e3f6458601de2383d6805bf0eaf6188d20,60,FROGE,A,buy,cfg_ladder_stop,-10.07,74799416430758075564032,1.33691e-22,2523.89,100.0,0.07,kyber,ok,0.0,buy 0.00396214 WETH ($10.00) → 7.48e+22 raw via kyber impact 100.00%
1789240000.0,0x0df5c5e3f6458601de2383d6805bf0eaf6188d20,60,FROGE,A,tp_2x,cfg_ladder_stop,10.1187,-37399708215379037782016,2.72427e-22,2519.56,,0.07,kyber,ok,329.484,sell 3.74e+22 raw → 0.00404302 WETH ($10.19) via kyber
1789240000.0,0xca57e27470180116e5a7560fe830a2ae983b4ef3,80,DMC,A,buy,cfg_ladder_stop,-10.07,49518201832825702842368,2.01946e-22,2519.56,3.1681,0.07,kyber,ok,0.0,buy 0.00396895 WETH ($10.00) → 4.95e+22 raw via kyber impact 3.17%
1789240000.0,0x3f81c5e0dd1374aa506cd41b29c9c28dba4df097,89,INVIA,A,buy_failed,cfg_ladder_stop,0.0,0,,,,0.0,none,absent,,"no route — position not opened — ABSENT: no V2 pair, kyber no_route, scanhood no_route"
1789240000.0,0x8d8e66625502810df3af677cd670bfa44b6a92ef,94,LLM,A,buy,cfg_ladder_stop,-10.07,81551988027129279283200,1.22621e-22,2519.81,6.1043,0.07,kyber,ok,0.0,buy 0.00396855 WETH ($10.00) → 8.16e+22 raw via kyber impact 6.10%
1789240000.0,0x4d27afa388ba1618bf1cec5199ab2d16dc792637,98,NOBIKO,A,buy,cfg_ladder_stop,-10.07,131189996256991,7.62253e-14,2516.15,-10.2469,0.07,router,ok,0.0,buy 0.00397433 WETH ($10.00) → 1.31e+14 raw via router impact -10.25%
1789240000.0,0x499f32ad63c1e0ed48ca7741aac25714cba076e6,106,TULIP,A,buy,cfg_ladder_stop,-10.07,3677573332062681694208,2.71918e-21,2515.66,100.0,0.07,kyber,ok,0.0,buy 0.0039751 WETH ($10.00) → 3.68e+21 raw via kyber impact 100.00%
1789240000.0,0xe9128c7544d1b04b62baa7767975a6bd888b285f,107,TWINE,A,buy,cfg_ladder_stop,-10.07,74403867903111817330688,1.34402e-22,2515.66,4.5656,0.07,kyber,ok,0.0,buy 0.0039751 WETH ($10.00) → 7.44e+22 raw via kyber impact 4.57%
1789240000.0,0xe9128c7544d1b04b62baa7767975a6bd888b285f,107,TWINE,A,tp_2x,cfg_ladder_stop,8.32709,-37201933951555908665344,2.25716e-22,2517.17,-5.6691,0.07,kyber,ok,240.036,sell 3.72e+22 raw → 0.00333821 WETH ($8.40) via kyber impact -5.67%
1789240000.0,0x4d27afa388ba1618bf1cec5199ab2d16dc792637,98,NOBIKO,A,tp_2x+5x,cfg_ladder_stop,43.2585,-98392497192743,4.40364e-13,2517.17,0.4251,0.07,router,ok,240.036,sell 9.84e+13 raw → 0.0172132 WETH ($43.33) via router impact 0.43%
1789240000.0,0xe9128c7544d1b04b62baa7767975a6bd888b285f,107,TWINE,A,tp_5x,cfg_ladder_stop,7.76211,-18600966975777954332672,4.2106e-22,2516.89,-0.4301,0.07,kyber,ok,249.912,sell 1.86e+22 raw → 0.00311162 WETH ($7.83) via kyber impact -0.43%
1789240000.0,0xc01ff5b3c73f8542a49350490de0b992e4ec56bb,111,TWINE,A,buy,cfg_ladder_stop,-10.07,65663475003038522933248,1.52292e-22,2519.04,100.0,0.07,kyber,ok,0.0,buy 0.00396977 WETH ($9.99) → 6.57e+22 raw via kyber impact 100.00%
1789240000.0,0x8c96a3d2940404d77402162d0e4e5fc819883c96,112,TWINE,A,buy,cfg_ladder_stop,-10.07,1949316144636769337344,5.13e-21,2519.04,98.6618,0.07,kyber,ok,0.0,buy 0.00396977 WETH ($9.99) → 1.95e+21 raw via kyber impact 98.66%
1789240000.0,0xc01ff5b3c73f8542a49350490de0b992e4ec56bb,111,TWINE,A,stop,cfg_ladder_stop,0.218385,-65663475003038522933248,4.39187e-24,2521.59,,0.07,kyber,ok,725.27,sell 6.57e+22 raw → 0.000114389 WETH ($0.29) via kyber
1789240000.0,0xca57e27470180116e5a7560fe830a2ae983b4ef3,80,DMC,A,stop,cfg_ladder_stop,0.443252,-49518201832825702842368,1.03649e-23,2521.68,75.4628,0.07,kyber,ok,1240.54,sell 4.95e+22 raw → 0.000203555 WETH ($0.51) via kyber impact 75.46%
1789240000.0,0x4d27afa388ba1618bf1cec5199ab2d16dc792637,98,NOBIKO,A,tp_10x,cfg_ladder_stop,15.9792,-19678499438548,8.15568e-13,2521.32,0.3326,0.07,router,ok,970.995,sell 1.97e+13 raw → 0.00636538 WETH ($16.05) via router impact 0.33%
1789250000.0,0x5c04eb73c83eefc65f977dc8835db19dcdbe4c9f,129,TWINE,A,buy,cfg_ladder_stop,-10.07,8040135161055317172682752,1.24376e-24,2522.48,2.818,0.07,kyber,ok,0.0,buy 0.00396435 WETH ($9.99) → 8.04e+24 raw via kyber impact 2.82%
1789250000.0,0x613476e47a0b8f503d2e94ecafaafb025bc8d645,131,POKE,A,buy,cfg_ladder_stop,-10.07,105948148545812233715712,9.43858e-23,2522.43,100.0,0.07,kyber,ok,0.0,buy 0.00396443 WETH ($10.00) → 1.06e+23 raw via kyber impact 100.00%
1789250000.0,0x613476e47a0b8f503d2e94ecafaafb025bc8d645,131,POKE,A,tp_2x,cfg_ladder_stop,14.5901,-52974074272906116857856,2.76741e-22,2521.42,,0.07,kyber,ok,236.568,sell 5.3e+22 raw → 0.00581741 WETH ($14.66) via kyber
1789250000.0,0x613476e47a0b8f503d2e94ecafaafb025bc8d645,131,POKE,A,tp_5x,cfg_ladder_stop,14.726,-26487037136453058428928,5.58614e-22,2527.08,,0.07,kyber,ok,227.994,sell 2.65e+22 raw → 0.00586571 WETH ($14.80) via kyber
1789250000.0,0x4d27afa388ba1618bf1cec5199ab2d16dc792637,98,NOBIKO,A,stop,cfg_ladder_stop,-0.0259315,-13118999625700,3.35914e-15,2522.71,0.3013,0.07,router,ok,239.894,sell 1.31e+13 raw → 1.74687e-05 WETH ($0.04) via router impact 0.30%
1789250000.0,0x613476e47a0b8f503d2e94ecafaafb025bc8d645,131,POKE,A,stop,cfg_ladder_stop,0.245437,-26487037136453058428928,1.19091e-23,2523.87,,0.07,kyber,ok,481.633,sell 2.65e+22 raw → 0.000124987 WETH ($0.32) via kyber
1789250000.0,0x3081b48e6f9ded8a1e5bb3edf09d3e7a8a7de3d0,154,MDOG,A,buy,cfg_ladder_stop,-10.07,83383965532976001843200,1.19927e-22,2524.12,-0.2711,0.07,kyber,ok,0.0,buy 0.00396178 WETH ($10.00) → 8.34e+22 raw via kyber impact -0.27%
1789250000.0,0x35fb99a1134ced9600374e95199dcc9bead0a531,155,HOODIE,A,buy,cfg_ladder_stop,-10.07,10857773524664595775488,9.20999e-22,2524.12,100.0,0.07,kyber,ok,0.0,buy 0.00396178 WETH ($10.00) → 1.09e+22 raw via kyber impact 100.00%
1789250000.0,0x3081b48e6f9ded8a1e5bb3edf09d3e7a8a7de3d0,154,MDOG,A,stop,cfg_ladder_stop,4.74832,-83383965532976001843200,5.77847e-23,2523.09,-14.2939,0.07,kyber,ok,482.49,sell 8.34e+22 raw → 0.00190987 WETH ($4.82) via kyber impact -14.29%
1789250000.0,0x168c59274f6a6674c7b5b3ea0dc606c1d12c4f29,170,JOE,A,buy,cfg_ladder_stop,-10.07,63538340742489868075008,1.57385e-22,2521.14,5.3659,0.07,kyber,ok,0.0,buy 0.00396646 WETH ($10.01) → 6.35e+22 raw via kyber impact 5.37%
1789250000.0,0x9fe9b3f0bc972772a94c623147141952d7e27777,176,FX AEGIS,A,buy,cfg_ladder_stop,-10.07,10882583650995737198592,9.18899e-22,2521.14,-121.725,0.07,kyber,ok,0.0,buy 0.00396646 WETH ($10.00) → 1.09e+22 raw via kyber impact -121.72%
